CHEBI:28184	C11052
CHEBI:2268	C11264
CHEBI:2270	C06781
CHEBI:15506	C03685
CHEBI:2274	C02242
CHEBI:17825	C03998
CHEBI:15932	C04858
CHEBI:27430	C07290
CHEBI:18171	C03686
CHEBI:47789	C01881
CHEBI:2286	C06569
CHEBI:2290	C05451
CHEBI:17899	C05455
CHEBI:17500	C03594
CHEBI:35349	C02956
CHEBI:18092	C06733
CHEBI:27979	C03595
CHEBI:2301	C11580
CHEBI:2306	C09002
CHEBI:2310	C11265
CHEBI:2312	C11266
CHEBI:2314	C11649
CHEBI:2316	C11650
CHEBI:2317	C11651
CHEBI:2321	C11575
CHEBI:27673	C02806
CHEBI:16299	C02243
CHEBI:27419	C02957
CHEBI:2328	C11053
CHEBI:37454	C03243
CHEBI:2333	C10924
CHEBI:28820	C11430
CHEBI:32798	C04056
CHEBI:2340	C01349
CHEBI:16693	C06397
CHEBI:28845	C06192
CHEBI:421707	C07624
CHEBI:28987	C06087
CHEBI:2367	C09318
CHEBI:2368	C09319
CHEBI:28828	C01657
CHEBI:2375	C10543
CHEBI:2379	C06803
CHEBI:2380	C07677
CHEBI:15342	C02807
CHEBI:15343	C00084
CHEBI:28465	C02658
CHEBI:46195	C06804
CHEBI:27690	C06805
CHEBI:27750	C00849
CHEBI:28515	C11106
CHEBI:15345	C00332
CHEBI:2394	C10925
CHEBI:28052	C06806
CHEBI:15347	C00207
CHEBI:15349	C01995
CHEBI:2401	C06807
CHEBI:27632	C07113
CHEBI:2404	C10664
CHEBI:37666	C05993
CHEBI:47622	C01883
CHEBI:15350	C00227
CHEBI:2410	C11444
CHEBI:2413	C02808
CHEBI:15355	C01996
CHEBI:28939	C06809
CHEBI:27518	C01548
CHEBI:2422	C07447
CHEBI:15453	C01144
CHEBI:28259	C06000
CHEBI:27466	C05260
CHEBI:15614	C00671
CHEBI:15757	C03741
CHEBI:32802	C03198
CHEBI:16660	C03742
CHEBI:3133	C06853
CHEBI:18138	C06555
CHEBI:3136	C08582
CHEBI:15353	C02010
CHEBI:3141	C10248
CHEBI:3147	C02138
